Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date,Last Appearance
PRINCIPAL GCP CLOUD SOLUTIONS ARCHITECT,OPEN TEXT CORPORATION,"WATERLOO, ON",74417.0,94228.0,2023-10-04,2023-11-08
LEAD PRODUCT MANAGER (IOT),OPEN TEXT CORPORATION,"WATERLOO, ON",97948.0,124024.0,2023-10-04,2023-10-11
PRINCIPAL NETWORK SPECIALIST,OPEN TEXT CORPORATION,"WATERLOO, ON",76996.0,97494.0,2023-10-04,2023-11-01
STAFF PERCEPTION DEVELOPER - LOCALIZATION AND MAPPING,CLEARPATH INC.,"KITCHENER, ON",99096.0,125478.0,2023-10-04,2023-10-11
"ADVISOR, BUSINESS DEVELOPMENT (UNIVERSITY OF WATERLOO)",MITACS,"WATERLOO, ON",83063.0,105177.0,2023-10-04,2023-11-22
SR. SYSTEMS ANALYST - IAM,OPEN TEXT CORPORATION,"WATERLOO, ON",73009.0,92446.0,2023-10-04,2023-11-22
SR. SOFTWARE ENGINEER-ZUORA ADMINISTRATOR,OPEN TEXT CORPORATION,"WATERLOO, ON",85653.0,108456.0,2023-10-04,2023-10-04
LEAD SYSTEMS ANALYST,OPEN TEXT CORPORATION,"WATERLOO, ON",92034.0,116535.0,2023-10-04,2023-10-18
MONITORING TOOLS SPECIALIST (SITESCOPE+),OPEN TEXT CORPORATION,"WATERLOO, ON",58861.0,74531.0,2023-10-04,2023-10-11
LEAD PRIVACY ANALYST,OPENTEXT,"WATERLOO, ON",76506.0,96874.0,2023-10-04,2023-11-01
APPLICATION DEVELOPER,STANTEC,"WATERLOO, ON",94215.0,119297.0,2023-10-04,2023-11-22
"SR. DIRECTOR, IT PMO",OPEN TEXT CORPORATION,"WATERLOO, ON",108651.0,137576.0,2023-10-04,2023-11-08
LEAD SITE RELIABILITY ENGINEER,OPEN TEXT CORPORATION,"WATERLOO, ON",99945.0,126552.0,2023-10-04,2023-11-22
"SENIOR SOFTWARE ENGINEER - RISK CONTROLS, HEALTH",CASH APP,"KITCHENER, ON",141237.0,178838.0,2023-10-04,2023-11-08
LEAD NETWORK ADMINISTRATOR,OPENTEXT,"WATERLOO, ON",91271.0,115569.0,2023-10-04,2023-10-04
"MATERNAL CHILD HEALTH NURSE COORDINATOR-RELOCATE TO PORT HARDY, B.C",GWA'SALA-'NAKWAXD'XW NATIONS,VARIOUS LOCATIONS,82396.0,104332.0,2023-10-04,2023-10-25
SENIOR SIMULATION DEVELOPER,CLEARPATH INC.,"KITCHENER, ON",94378.0,119504.0,2023-10-04,2023-10-11
SR. SYSTEMS ANALYST - IAM,OPENTEXT,"WATERLOO, ON",73009.0,92446.0,2023-10-04,2023-11-22
PRINCIPAL SECURITY COMPLIANCE ANALYST - COMPLIANCE STRATEGY,OPENTEXT,"WATERLOO, ON",76187.0,96470.0,2023-10-04,2023-11-22
SENIOR SOFTWARE ENGINEER IN TEST,MAGNET FORENSICS,"WATERLOO, ON",74802.0,94716.0,2023-10-04,2023-10-11
"CNC MID TO LARGE LATHE MACHINIST (""PROGRAMMER"")",BARRIE WELDING & MACHINE,VARIOUS LOCATIONS,,,2023-10-04,2023-10-25
